Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
The Hardest Logic Workbook for Gritty Kids: Spatial Reasoning, Math Puzzles, Word Games, Logic Problems, Focus Activities, Two-Player Games;2024;Book;Manageably difficult puzzles that are fun and engaging, fostering motivation through a rewarding sense of accomplishment.;Dan Allbaugh;-;English;Puzzles;Yes;4–7;https://www.amazon.co.uk/Hardest-Logic-Workbook-Gritty-Kids/dp/B0DG5PFHR5?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.w_9joC8vNFDLI6x2XzVHhhRtxnQnebyPCnmQPJjMjOcFR7DwR8381MJM0-AD4uj8-U2XqSlQFU-QAG474B3ewXrVh5_c7yff04n9XfLH0v4K4rPP5B6aCivIiZwcZemK9iKlHqcR-GQusx85_BoeqA.c857AOiusDjp4M4vayhAJRyQLXSA6xNTm_W3PzKDhBs&dib_tag=AUTHOR
The House of Wisdom: How Arabic Science Saved Ancient Knowledge and Gave Us the Renaissance;2010;Book;The story behind how Arabic numerals were introduced to the West and the significance this had for Western thinking and technological advances. ;Jim Al-Khalili;Penguin Press;English;Number Theory;Yes;All;https://www.amazon.com/dp/0143120565?ref=exp_daily_math__dp_vv_d
The Imitation Game;2014;Film;Biography about Alan Turing;Morten Tyldum;The Weinstein Company;English;Programming;Yes;8–10;
The Indisputable Existence of Santa Claus: The Mathematics of Christmas;2016;Book;Hannah Fry answers some mathematical questions related to the Christmas season. ;Thomas Oléron Evans | Hannah Fry ;Transworld Digital;English;Mathematics in everyday life;Yes;All;https://www.goodreads.com/book/show/30983000-the-indisputable-existence-of-santa-claus?from_search=true&from_srp=true&qid=MmbwOJr9aK&rank=1#
The Infinite Book: A Short Guide to the Boundless, Timeless and Endless;2005;Book;Cambridge professor John Barrow takes us on a grand tour of this most elusive of ideas and describes with clarifying subtlety how this subject has shaped, and continues to shape, our very sense of the world in which we live. The Infinite Book is a thoroughly entertaining and completely accessible account of the biggest subject of them all—infinity.;John D. Barrow;Flux Forlag;Several;Number Theory | Infinity;;;
The Joy of Data;2016;Documentary;This mind-expanding, high-tech documentary, hosted by mathematician Dr. Hannah Fry, reveals what data is and how it is captured, stored, shared, and analyzed. Fry tells the story of the engineers of the data age, people most of us have never heard of despite creating a technological and philosophical revolution. Modern society runs on data, making information the world's most valuable asset. ~IMDb;Hannah Fry | Catherine Gale;BBC;English;Data;Little;All;https://www.youtube.com/watch?v=bGq9OVce6Eg
The Joy of Winning;2018;Documentary;Mathematician Dr Hannah Fry presents a guide to the science of success, featuring strategies to increase the probability of winning. How to have a happier life and a better world all thanks to maths, in this witty, mind-expanding guide to the science of success with Hannah Fry.;Hannah Fry | Catherine Gale;Wingspan Productions;English;Game theory;Yes;All;https://tv.nrk.no/program/KOID26009818
The Joy of x: A Guided Tour of Math, from One to Infinity;2012;Book;An attempt to explain how mathematics relates to everyday life ;Steven Strogatz;Mariner Books;English;Mathematics in everyday life;Yes;8–13;https://www.amazon.com/Joy-Guided-Tour-Math-Infinity/dp/0544105850/ref=pd_vtp_1/138-7495430-0684424?pd_rd_w=77Eb7&pf_rd_p=016e3697-91be-4dc2-9533-ef9350e7e73d&pf_rd_r=HZFJM08D9G9BFNJHA6Z2&pd_rd_r=9b4897c4-5924-4694-96fb-7fa17d5980fb&pd_rd_wg=MfPVB&pd_rd_i=0544105850&psc=1
The Lady Tasting Tea;2002;Book;"An insightful, revealing history of the magical mathematics that transformed our world. The Lady Tasting Tea is not a book of dry facts and figures, but the history of great individuals who dared to look at the world in a new way.
";David Salsburg;Holt Paperbacks;English;Statistics;Yes;;https://www.amazon.com/Lady-Tasting-Tea-Statistics-Revolutionized/dp/0805071342
The Language of Mathematics: The Stories behind the Symbols;2025;Book;Galileo famously wrote that the book of nature is written in mathematical language. The Language of Mathematics is a wide-ranging and beautifully illustrated collection of short, colorful histories of the most commonly used symbols in mathematics, providing readers with an engaging introduction to the origins, evolution, and conceptual meaning of each one.;Raúl Rojas;Princeton University Press;English;History of Mathematics | Symbols;;;
The Life-Changing Magic of Numbers: How Maths Shape Everyday Life ;2018;Book;A look at how mathematics affects us in everyday life.;Bobby Seagull;Virgin Books;English;Mathematics in everyday life;Yes;All;https://www.goodreads.com/book/show/41457400-the-life-changing-magic-of-numbers
"The Man Who Counted: A Collection of Mathematical Adventures
";1938;Book;"Malba Tahan is the creation of a celebrated Brazilian
mathematician looking for a way to bring some of the
mysteries and pleasures of mathematics to a wider public.
The adventures of Beremiz Samir, The Man Who Counted,
take the reader on a journey in which, time and again, Samir
summons his extraordinary mathematical powers to settle
disputes, give wise advice, overcome dangerous enemies,
and win for himself fame, fortune, and rich rewards. We
learn of previous mathematicians and come to admire Samir’s
wisdom and patience. In the grace of Tahan’s telling, these
stories hold unusual delights for the reader.";Malba Tahan;W. W. Norton & Company;English;Fiction;Yes;;https://www.goodreads.com/book/show/23316551-the-man-who-counted
The Man Who Knew Infinity;1991;Book;Biography about G. H. Hardy and his brilliant student, Srinivasa Ramanujan;Robert Kanigel;"	C. Scribner's";English;Biography ;Yes;All;
The Man Who Knew Infinity;2015;Film;Biographical film about G. H. Hardy and his outstanding student, Srinivasa Ramanujan;Matthew Brown;Warner Bros. ;English;Biography ;Yes;All;
The Mandelbrot Competition;1990–2019;Competition;One of the premier math contests for High School students in the United States.;Sam Vandervelde | Richard Rusczyk | Sandor Lehoczk;-;English;Misc.;;10–13;http://www.mandelbrot.org/
The Math Book: From Pythagoras to the 57th Dimension, 250 Milestones in the History of Mathematics;2012;Book;;Clifford A. Pickover;Union Square & Co.;English;History of mathematics;Yes;;https://www.amazon.com/Math-Book-Pythagoras-Milestones-Mathematics/dp/1402788290
The Math Chat Book;2000;Book;Mathematics can be fun for everyone, and this book shows it. It grew out of the author's popularisation of mathematics via live, call-in TV shows and widely published articles. The questions, comments, and even the answers here come largely from the callers and readers themselves, and so the book covers the kind of mathematical problems that people are interested in, not those that professional mathematicians, writers or even publishers think people should be interested in. The book makes no attempt to fit any mould. Although written by a research mathematician, it goes where the callers and readers have directed it, over a wide range of topics and levels. Everyone paging through it will be captured by something of interest, whether they consider themselves interested in mathematics or not.;Frank Morgan;Spectrum;English;Mathematics in everyday life;Yes;;https://www.amazon.com/Math-Chat-Book-Spectrum/dp/0883855305
The Math Guy;2011–nåtid;Blog ;A Math(s) consultant from Yorkshire, now working in Ontario and always learning about how students best learn Math(s).;Mike Jacobs;-;English;Misc.;Yes;8–13;https://themathguy.blogspot.com/
the Mathemactivist;2015–;YouTube;Videos that address mathematical concepts. Strong focus on mathematical art and patterns. ;Ayliean MacDonald;-;English;Art ;Yes;All;https://ayliean.com/
The Mathematical Experience;1999;Book;"This is the classic introduction for the educated lay reader to the richly diverse world of mathematics: its history, philosophy, principles, and personalities.
";Phillip J. Davis ;Harper Paperbacks;English;History of mathematics | Philosophy of mathematics;;All;https://www.amazon.com/Mathematical-Experience-Phillip-J-Davis/dp/0395929687
The Mathematical Universe: An Alphabetical Journey Through the Great Proofs, Problems, and Personalities;1994;Book;"The Mathematical Universe is a solid collection of short essays, with each addressing a particular mathematical topic. Titles range from ""Isoperimetric Problem"" to ""Where Are the Women?"" Author Dunham manages to maintain a conversational tone while referencing diagrams, equations, and rigorous arguments throughout the book.";William Dunham;Wiley;English;History of Mathematics | Proof;;;https://www.goodreads.com/book/show/275923.The_Mathematical_Universe
The Mathematics of Love;2014;Lecture;Finding the right mate is no cakewalk -- but is it even mathematically likely? In a charming talk, mathematician Hannah Fry shows patterns in how we look for love, and gives her top three tips (verified by math!) for finding that special someone.;Hannah Fry;TED ;English;Statistics;;All;https://www.ted.com/talks/hannah_fry_the_mathematics_of_love?language=en
The Mathematics of Love::Patterns, Proofs, and the Search for the Ultimate Equation;2015;Book;Fry answers a series of mathematical questions related to love, such as what is the probability of finding love, how dating algorithms work, and how game theory can improve your chances. ;Hannah Fry;Simon & Schuster;English;Mathematics in everyday life;Yes;All;https://www.amazon.com/Mathematics-Love-Patterns-Ultimate-Equation/dp/1476784884
The mathematics of shuffling;2021;Party trick;The math behind card shuffling;Racheal Praeger;Plus Magazine;English;Combinatorics;Yes;8–13;
The Maths of Life and Death;2019;Book;"In this eye-opening and extraordinary book, Yates explores the true stories of life-changing events in which the application - or misapplication - of mathematics has played a critical role: patients crippled by faulty genes and entrepreneurs bankrupted by faulty algorithms; innocent victims of miscarriages of justice and the unwitting victims of software glitches.";Kit Yates;Cappelen Damm;English | Norwegian;Misc.;Yes;;https://www.akademika.no/matte-pa-liv-og-dod/yates-kit/9788202608675
The Millennium Problems: The Seven Greatest Unsolved Mathematical Puzzles Of Our Time;2003;Book;"In 2000, the Clay Foundation of Cambridge, Massachusetts, announced a historic competition: whoever could solve any of seven extraordinarily difficult mathematical problems, and have the solution acknowledged as correct by the experts, would receive 1 million in prize money. There was some precedent for doing this: in 1900 David Hilbert, one of the greatest mathematicians of his day, proposed twenty-three problems, now known as the Hilbert Problems, that set much of the agenda for mathematics in the twentieth century. The Millennium Problems are likely to acquire similar stature, and their solution (or lack of one) is likely to play a strong role in determining the course of mathematics in the current century. Keith Devlin, renowned expositor of mathematics, tells here what the seven problems are, how they came about, and what they mean for math and science. These problems are the brass rings held out to today's mathematicians, glittering and just out of reach. In the hands of Keith Devlin, ""the Math Guy"" from NPR's ""Weekend Edition,"" each Millennium Problem becomes a fascinating window onto the deepest and toughest questions in the field. For mathematicians, physicists, engineers, and everyone else with an interest in mathematics' cutting edge, The Millennium Problems is the definitive account of a subject that will have a very long shelf life.";Keith J. Devlin;Basic Books;English;History of Mathematics;Yes;All;https://www.amazon.com/Millennium-Problems-Greatest-Unsolved-Mathematical/dp/0465017304
The Moscow Puzzles: 359 Mathematical Recreations;1954;Book;Most popular Russian puzzle book ever published.;Boris Kordemsky;Dover Publications Inc.;English | Russian;Problem solving;Some;All;https://www.goodreads.com/book/show/391164.The_Moscow_Puzzles
The Music of the Primes: Searching to Solve the Greatest Mystery in Mathematics;2003;Book;"""this fascinating account, decoding the inscrutable language of themathematical priesthood, is written like the purest poetry. Marcus du Sautoy's enthusiasm shines through every line of this hymnto the joy of high intelligence, illuminating as it does so even the darkestcorners of his most arcane universe"" ~Simon Winchester";Marcus du Sautoy ;Harper Perennial;English;Number Theory | Primes;;;https://www.amazon.com/dp/0062064010?ref=exp_daily_math__dp_vv_d
The Naked Mathematician;2017–;YouTube;Dr Tom Crawford is a mathematician at the University of Oxford trying to make maths less serious by teaching in his underwear.;Tom Crawford;University of Oxford;English;Misc.;Yes;8–13;https://www.youtube.com/watch?v=Fmk0HPZIucs&ab_channel=TomRocksMaths
The Number Devil;1997;Book;Fiction. A boy named Robert learns mathematics from a mathematical devil in a series of 12 dreams.;Hans Magnus Enzensberger;Henry Holt and Company;English | German;Fiction;Yes;1–10;https://www.amazon.com/Number-Devil-Mathematical-Adventure/dp/0805062998/ref=pd_vtp_6/138-7495430-0684424?pd_rd_w=77Eb7&pf_rd_p=016e3697-91be-4dc2-9533-ef9350e7e73d&pf_rd_r=HZFJM08D9G9BFNJHA6Z2&pd_rd_r=9b4897c4-5924-4694-96fb-7fa17d5980fb&pd_rd_wg=MfPVB&pd_rd_i=0805062998&psc=1
The Number Mysteries: A Mathematical Odyssey Through Everyday Life;2011;Book;"Every time we download music, take a flight across the Atlantic or talk on our cell phones, we are relying on great mathematical inventions. In The Number Mysteries, one of our generation's foremost mathematicians Marcus du Sautoy offers a playful and accessible examination of numbers and how, despite efforts of the greatest minds, the most fundamental puzzles of nature remain unsolved. Du Sautoy tells about the quest to predict the future―from the flight of asteroids to an impending storm, from bending a ball like Beckham to forecasting population growth. He brings to life the beauty behind five mathematical puzzles that have contributed to our understanding of the world around us and have helped develop the technology to cope with it. With loads of games to play and puzzles to solve, this is a math book for everyone.
";Marcus du Sautoy ;Fourth Estate;English;Misc.;Yes;All;https://www.amazon.com/Number-Mysteries-Mathematical-Odyssey-Everyday/dp/0230113842
The Numberphile Podcast;2018;Podcast;Spin-off of the Numberphile channel on YouTube;Brady Haran;-;English;Misc.;Yes;8–13;https://www.numberphile.com/podcast
The Order of Time;2017;Book;"Why do we remember the past and not the future? What does it mean for time to ""flow""? Do we exist in time or does time exist in us? In lyric, accessible prose, Carlo Rovelli invites us to consider questions about the nature of time that continue to puzzle physicists and philosophers alike.";Carlo Rovelli;Spartacus;English | Italian | Norwegian;Physics;Some;8–13;https://www.ark.no/boker/Carlo-Rovelli-Tid-9788243012639
The Original Area Mazes: 100 Addictive Puzzles to Solve with Simple Math—and Clever Logic!;2017;Book;Perfect for sudoku fans—the rules for these 100 logic puzzles are simple, and the math is easy. But the puzzles get harder and harder!;Naoki Inaba | Ryoichi Murakami | Alex Bellos;The Experiment;English;Geometry;;;
The Planiverse;1984;Book;Novel by A. K. Dewdney, written in 1984 about a two-dimensional world.;Alexander Keewatin Dewdney;-;English;Geometry;Yes;All;
The Principia: Mathematical Principles of Natural Philosophy;1687;Book;Principia (/prɪnˈsɪpiə, prɪnˈkɪpiə/), is a book by Isaac Newton that expounds Newton's laws of motion and his law of universal gravitation;Isaac Newton;-;English;Physics;;;
The Puzzling Adventures of Dr. Ecco;1997;Book;Dr. Ecco is a mathematical detective and puzzle solver. In this book readers are invited to join him in solving nearly 40 puzzles inspired by methods in computer science and mathematics, including The Tower of Lego, the Odd Doors Problem, Spies and Double Agents, Gossiping Defenders, Code Breaking, and many more.;Dennis E. Shasha;Dover Publications Inc.;English;Puzzles | Computer science;Yes;;
The Pythagorean Theorem: A 4,000-Year History;2010;Book;"By any measure, the Pythagorean theorem is the most famous statement in all of mathematics. In this book, Eli Maor reveals the full story of this ubiquitous geometric theorem. Maor shows that the theorem, although attributed to Pythagoras, was known to the Babylonians more than a thousand years earlier. Pythagoras may have been the first to prove it, but his proof--if indeed he had one--is lost to us. The theorem itself, however, is central to almost every branch of science, pure or applied. Maor brings to life many of the characters that played a role in the development of the Pythagorean theorem, providing a fascinating backdrop to perhaps our oldest enduring mathematical legacy.
";Eli Maor;Princeton University Press;English;History of mathematics | Trigonometry;Yes;;https://www.amazon.com/Pythagorean-Theorem-000-Year-History-Princeton/dp/0691148236
The Science Museum Maths 100 Ideas in 100 Words - A Whistle-Stop Tour of Key Concepts;2024;Book;Maths: 100 Ideas in 100 Words offers the essential facts at your fingertips, satisfying your mathematical curiosity and helping you to understand the biggest concepts in maths in concise, 100-word summaries.;Katie Steckles | Sam Hartburn | Ben Sparks;SD Books;English;;;;
The Secret Life of Chaos;2010;Documentary;Jim Al-Khalili shows how chaos theory can answer a question that mankind has asked for millennia - how does a universe that starts off as dust end up with intelligent life?;Jim Al-Khalili;BBC;English;Chaos Theory;;All;https://www.imdb.com/title/tt1674741/
The Secret Rules of Modern Living: Algorithms;2015;Documentary;Marcus du Sautoy demystifies the hidden world of algorithms, revealing where these 2,000-year-old problem-solvers came from, how they work and what they have achieved.;Marcus du Sautoy;BBC;English;Algorithms;;All;https://www.bbc.co.uk/programmes/p030s6b3
The Shoelace Book: A Mathematical Guide to the Best (and Worst) Ways to Lace Your Shoes;2006;Book;Bok som handler om matematikken bak å knyte skolissene;Burkard Polster;American Mathematical Society;English;Geometry | Topology;Yes;All;https://www.amazon.com/Shoelace-Book-Mathematical-Guide-Worst/dp/0821839330
The Signal and the Noise: Why So Many Predictions Fail-but Some Don't;2012;Book;Drawing on his own groundbreaking work in sports and politics, Nate Silver examines the world of prediction, investigating how to seek truth from data. In The Signal and the Noise, Silver visits innovative forecasters in a range of areas, from hurricanes to baseball to global pandemics, from the poker table to the stock market, from Capitol Hill to the NBA. He discovers that what the most accurate ones have in common is a superior command of probability—as well as a healthy dose of humility.;Nate Silver;Penguin Press;English;Probability;;;
The Simpsons and Their Mathematical Secrets;2013;Book;Collection/explanation of mathematical jokes in “The Simpsons”;Simon Singh;Bloomsbury Publishing;English;Mathematics in everyday life;Yes;8–13;https://www.amazon.com/Simpsons-Their-Mathematical-Secrets/dp/1620402777
The Story of Maths;2008;Documentary;Marcus du Sautoy covers such subjects as the invention of zero and the Riemann hypothesis, the contributions of great mathematicians including Pythagoras, Plato and Euclid, and some of the biggest unsolved problems that confronted math scholars in the 20th century. Also, du Sautoy examines key mathematical ideas and their influence on today's science, technology and culture.;Marcus du Sautoy;BBC Four;English;History of Mathematics;;;
The Theory of Everything;2014;Film;Biography about Stephen Hawking;James Marsh;Universal Pictures;English;Astrophysics;Yes;8–13;https://www.imdb.com/title/tt2980516/
The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, & Emerged Triumphant from Two Centuries of Controversy;2011;Book;McGrayne traces the rule’s discovery by an 18th century amateur mathematician through its development by French scientist Pierre Simon Laplace. She reveals why respected statisticians rendered it professionally taboo for 150 years—while practitioners relied on it to solve crises involving great uncertainty and scanty information, such as Alan Turing's work breaking Germany's Enigma code during World War II.;Sharon Bertsch McGrayne;Yale University Press;English;Probability;;;
The Tiger That Isn't: Seeing Through a World of Numbers;2007;Book;"Numbers have become the all-powerful language of public argument. Too often, that power is abused and the numbers bamboozle. This book shows how to see straight through them - and how to seize the power for yourself. Public spending, health risks, environmental disasters, who is rich, who is poor, Aids or war deaths, pensions, teenage offenders, the best and worst schools and hospitals, immigration - life comes in numbers. The trick to seeing through them is strikingly simple. It is to apply something everyone has - the lessons of their own experience. Using vivid and everyday images and ideas, this book shows how close to hand insight and understanding can be, and how we can all use what is familiar to make sense of what is baffling. It is also a revelation - of how little the principles are understood even by many who claim to know better. This book is written by the team who created and present the hugely popular BBC Radio 4 series, More or Less.
";Michael Blastland;Profile Books;English;Statistics;Yes;All;https://www.amazon.com/Tiger-That-Isnt-Through-Numbers/dp/1861978391
The Tokyo Puzzles;1978;Book;"""Whether you are a serious or a casual gamester you will enjoy teasing your brain and finding the elegant and ofter witty solutions to these puzzles.""";Kobon Fujimura | Martin Gardner ;Biddles ;English;Problem solving;Yes;All;https://www.goodreads.com/book/show/2324793.The_Tokyo_Puzzles
The Transcendental Tangle: Untying the Enigmatic Knots of the Infinite: A Playful Exploration and Guide to the Enigmatic World of Transcendental Numbers;2023;Book;This captivating book is designed to take you on an enchanting exploration of transcendental numbers, those fascinating mathematical entities that exist beyond the boundaries of traditional algebraic understanding. Dive into the rich history of transcendental numbers, uncovering the delightful stories and endearing quirks of the mathematicians who dared to venture into this enigmatic realm.;Matthew Weinberg ;Independently published;English;Number Theory | Transcendental numbers;;;
The Triumph of Numbers: How Counting Shaped Modern Life;2006;Book;"From the pyramids to mortality tables, Galileo to Florence Nightingale, a vibrant history of numbers and the birth of statistics.

The great historian of science I. B. Cohen explores how numbers have come to assume a leading role in science, in the operations and structure of government, in marketing, and in many other aspects of daily life. Consulting and collecting numbers has been a feature of human affairs since antiquity―taxes, head counts for military service―but not until the Scientific Revolution in the twelfth century did social numbers such as births, deaths, and marriages begin to be analyzed. Cohen shines a new light on familiar figures such as Thomas Jefferson, Benjamin Franklin, and Charles Dickens; and he reveals Florence Nightingale to be a passionate statistician. Cohen has left us with an engaging and accessible history of numbers, an appreciation of the essential nature of statistics.
";I. Bernard Cohen;W. W. Norton & Company;English;Statistics;;All;https://www.ark.no/produkt/boker/dokumentar-og-faktaboker/hvordan-fatte-matte-9788293693062
The Ultimate Logic Grid Puzzle Book for Adults: 100 Fun Deductive Challenges;2024;Book;"Over 100 hours of guaranteed mind-bending fun!
This collection will bring you the most entertaining logic challenges you have ever encountered.";-;Unicorn Books;English;Puzzles;;;
The Unfinished Game: Pascal, Fermat, and the Seventeenth-Century Letter that Made the World Modern;2008;Book;In the early seventeenth century, the outcome of something as simple as a dice roll was consigned to the realm of unknowable chance. Mathematicians largely agreed that it was impossible to predict the probability of an occurrence. Then, in 1654, Blaise Pascal wrote to Pierre de Fermat explaining that he had discovered how to calculate risk. The two collaborated to develop what is now known as probability theory -- a concept that allows us to think rationally about decisions and events.;Keith J. Devlin;Basic Books;English;Biography | Probability;Yes;10–13;https://www.amazon.com/Unfinished-Game-Pascal-Fermat-Seventeenth-Century/dp/0465018963
The Universal Book of Mathematics: From Abracadabra to Zeno's Paradoxes;2004;Book;the book treats numerous topics one would not expect to find in more academic math dictionaries--illusions, classic chess problems, the 1884 novel Flatland, to give a few examples.;David Darling;Wiley;English;Misc.;Yes;All;https://www.goodreads.com/book/show/84747.The_Universal_Book_of_Mathematics?from_search=true&from_srp=true&qid=LwXgAhtR88&rank=1
The Wonder Book of Geometry: A Mathematical Story;2021;Book;Accessibility and illustrations of geometry;David Acheson;Oxford University Press;English;Geometry;Yes;8–13;https://www.goodreads.com/book/show/52617760-the-wonder-book-of-geometry?from_search=true&from_srp=true&qid=yvHeQR2a8C&rank=1
Things to Make and Do In the Fourth Dimension;2014;Book;Anecdotes about mathematics;Matt Parker;Farrar, Straus and Giroux;English;Geometry | Higher Dimensions;Yes;8–13;https://www.goodreads.com/book/show/23008136-things-to-make-and-do-in-the-fourth-dimension?from_search=true&from_srp=true&qid=tr0U20sYw2&rank=1
Thinking in Systems;2008;Book;"The classic book on systems thinking—with more than half a million copies sold worldwide!
";Donella H. Meadows | Diana Wright;Chelsea Green Publishing;English;Networks theory | Complex systems;Yes;Higher ed.;https://www.amazon.com/stores/Donella-H.-Meadows/author/B001JPC6AC?ref=ap_rdr&isDramIntegrated=true&shoppingPortalEnabled=true
Through the Wormhole ;2010–2017;Documentary;Documentary series on astrophysics narrated by Morgan Freeman ;Morgan Freeman;Discovery Inc. ;English;Astrophysics;Some;8–13;https://www.discoveryplus.no/programmer/through-the-wormhole-with-morgan-freeman
"Tilfeldig?; Neppe!: om tilfeldighetene som styrer livet ditt";2020;Book;"""Gjennom møter med noen av landets fremste forskere får du muntert forklart hvorfor kunnskapen om tilfeldigheter og store talls lov er avgjørende i alt fra medisinske diagnoser, pantelotteriet og politiske valgdagsmålinger til forventet levealder, strømpriser og klimakaos."" ~CDON";Yngve Vogt;Spartacus;Norwegian;Probability;Some;All;https://www.adlibris.com/no/bok/tilfeldig-neppe-om-tilfeldighetene-som-styrer-livet-ditt-9788243013346
Tjoras matteskole - leksehjelp for foreldre og barn;2020;Book;"Det vanligste spørsmålet barn kommer med når de skal lære matematikk, er «Hvorfor er det sånn?» Og det er her mange foreldre kommer til kort. Hvorfor flytter og bytter vi i arbeidet med likninger? Hvorfor ser formlene ut som de gjør, hvorfor må vi finne en fellesnevner, og hva er den egentlig? I denne boka tar forfatteren deg gjennom all regning som de nye læreplanene har listet opp at elevene skal kunne, fra 1. til 10.klasse. Alt fra den spede begynnelsen fra hva tiervenner er, til hvordan du regner ut sannsynligheten for å vinne i Lotto. Boka har en logisk oppbygging, som gjør at alle utregninger forklares trinn for trinn, både hvordan og hvorfor. Samtidig krever ikke boka at du har lest hele, for å kunne hjelpe til med det som er vanskelig der og da.
";Håvard Tjore;Kagge forlag;Norwegian;Misc.;Yes;1–12;https://www.ark.no/produkt/boker/barneboker/tjoras-matteskole-9788248926450?gad_source=1&gbraid=0AAAAAD22RQEeuQVw0OBi7j1bo6afo_uWo&gclid=Cj0KCQjw_dbABhC5ARIsAAh2Z-Q8FSntCMDSHylipkdwmUdkXwz42AwdbQevqzeWpZdrDK8tXYSbHI4aAq_CEALw_wcB
To Infinity and Beyond: A Cultural History of the Infinite;1991;Book;"""Maor explores the idea of infinity in mathematics and in art and argues that this is the point of contact between the two, best exemplified by the work of the Dutch artist M. C. Escher, six of whose works are shown here in beautiful color plates.""--Los Angeles Times """;Eli Maor;Princeton University Press;English;Number Theory | Geometry;Yes;All;https://www.amazon.com/Infinity-Beyond-Cultural-History-Infinite/dp/0691025118
Tom Scott;2006–;YouTube;English YouTuber, web developer and presenter.;Tom Scott;-;English;Programming;;All;http://youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A
Tribute to a mathemagician;2004;Book;Samling av matematiske puslerier insipirert av Martin Gardner ;Barry Cipra ;A K Peters;English;Problem solving;Yes;8–13;https://www.goodreads.com/book/show/767623.Tribute_to_a_Mathemagician
Trigonometric Delights;2002;Book;In this book, Eli Maor draws on his remarkable talents as a guide to the world of numbers to dispel that view. Rejecting the usual arid descriptions of sine, cosine, and their trigonometric relatives, he brings the subject to life in a compelling blend of history, biography, and mathematics. He presents both a survey of the main elements of trigonometry and a unique account of its vital contribution to science and social development. Woven together in a tapestry of entertaining stories, scientific curiosities, and educational insights, the book more than lives up to the title Trigonometric Delights.;Eli Maor;Princeton University Press;English;History of mathematics | Trigonometry;Yes;;https://web.archive.org/web/20040404234808/http://www.pupress.princeton.edu/books/maor/
TyYann;2006–;YouTube;Tricks, magic, math and much worse… French math teacher living in Korea since 1996.;Ty Yann;-;English;Number Theory | Magic | Misc.;;All;https://www.youtube.com/user/tyyann
Tårnet I Hanoi;–;Puzzle;A puzzle typically consisting of three towers. The goal is to move a set of discs from one tower to another. ;-;-;Vietnamese;Logic;Yes;All;https://www.mathsisfun.com/games/towerofhanoi.html
Undiluted Hocus-Pocus: The Autobiography of Martin Gardner;2013;Book;The autobiography of the beloved writer who inspired a generation to study math and science;Martin Gardner;Princeton University Press;English;Biography ;;;
UngeAbel;1997–;Competition;Formerly KappAbel. The Norwegian qualifying round in NMCC;-;LAMIS;Norwegian;Misc.;;9;https://www.lamis.no/index.php?pageID=208&page=Velkommen
Until the End of Time: Mind, Matter, and Our Search for Meaning in an Evolving Universe;2020;Book;Explanation of the origin of the universe, which also addresses existential questions;Brian Greene;Knopf;English;Physics | Astrophysics;Some;Adults;https://www.amazon.com/Until-End-Time-Evolving-Universe/dp/1524731676
Vector: A Surprising Story of Space, Time, and Mathematical Transformation;2024;Book;In exploring the evolution of vectors and tensors—and introducing the fascinating people who gave them to us—Arianrhod takes readers on an extraordinary, five-thousand-year journey through the human imagination. She shows the genius required to reimagine the world—and how a clever mathematical construct can dramatically change discovery’s direction.;Robyn Arianrhod;University of Chicago Press;English;Geometry | Vectors;;;
Verdt å vite;1979–2011;Radio show;Norwegian popular science magazine program. The program featured interviews with researchers, reports from research institutions, popular science lectures, and editorial research news. Merged with Sånn er livet into EKKO in 2011.;-;NRK;Norwegian;Misc.;;All;https://web.archive.org/web/20051211144146/http://www.nrk.no/programmer/sider/verdt_aa_vite/
Veritasium ;2010–;YouTube;Various videos on physics, mathematics, and popular science presented by host Derek Muller.;Derek Muller;-;English;Misc.;Some;8–10;https://youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA 
Vi er stjernestøv: kjernefysikk for folk flest;2020;Book;"""Sunniva Rose, Ph.d., fysiker og forskningsformidler gjør kjernefysikk til det det nettopp er: Gøy og spennende!";Sunniva Rose ;Egmont People;Norwegian;Physics;Yes;All;https://www.adlibris.com/no/bok/vi-er-stjernestov-9788242969118
Vi Ganger med Sanger ;2007;Music;Norwegian educational songs using the multiplications table as lyrics. ;?;?;Norwegian;Multiplication;Yes;1–7;https://open.spotify.com/artist/1OGAkxq2em84o0X7FzcpFt?si=vVjKF6ABTz-ARcXXI-O_sg
Vi Hart;2009–;YouTube;"""Vi Hart is a mathemusician and philosopher known primarily for work in mathematics, musical structure, and social justice. Vi has publications in computational geometry, symmetry, mathematics and music, mathematical art, and math education, and is the principal investigator of eleVR, a research group focused on understanding how virtual and augmented reality technology can impact how humans think, see, and feel. Vi is the creator of math-related videos that have together gathered over 100 million views, including the “Doodling in Math Class” series, “Hexaflexagons”, and “Twelve Tones”. Vi is also known as co-creator of “Parable of the Polygons,” an explorable explanation of systemic bias that has been played over 5 million times."" ~Vihart.com";Victoria Hart;-;English;Geometry | Misc.;Yes;All;https://www.youtube.com/watch?v=X1E7I7_r3Cw&t=217s 
