Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
"Lys; en fortelling om regnbuen og nordlyset, flammene og ildfluene, og mennesket";2018;Book;"""I denne boka får du historien om lyset i sine mange former – som fenomen i naturen og som forutsetning for menneskenes tilværelse. "" ~Goodreads";Bjørn H. Samset;Spartacus;Norwegian;Physics;Little;All;https://www.goodreads.com/no/book/show/43169305-lys-en-fortelling-om-regnbuen-og-nordlyset-flammene-og-ildfluene-og-m
M. C. Escher;1898–1972;Art;Artist who experimented with patterns and mathematical themes in his paintings and sculptures;Maurits Cornelis Escher;-;Dutch;Patterns | Symmetry;Some;All;https://www.nga.gov/features/slideshows/mc-escher-life-and-work.html#slide_1
"Machine Learning for Absolute Beginners: A Plain English Introduction
";2017;Book;Machine Learning for Absolute Beginners has been written and designed for absolute beginners. This means plain-English explanations and no coding experience required. Where core algorithms are introduced, clear explanations and visual examples are added to make it easy and engaging to follow along at home.;Oliver Theobald;Scatterplot Press;English;Computer Science | Machine learning;;;
Magic Numbers: Hannah Fry's Mysterious World of Maths;2018–;Documentary;Is mathematics an invented language or is it a fundamental part of the universe? Dr. Hannah Fry explores the mysteries of mathematics. British documentary series;Hannah Fry;BBC / Windfall Films;English | Norwegian;Misc.;Yes;All;https://www.imdb.com/title/tt9108770https://tv.nrk.no/serie/matematikkens-magi/sesong/1/episode/1/avspiller / /
Magiske Mønstre;2016–;YouTube;Videoer om matematiske fenomener;Roger Antonsen;Rubicon TV;Norwegian;Misc.;Yes;All;https://ark.no/boker/Jo-Roislien-Siffer-9788281881044
Mandelbrot set;1985;Art;Fractal geometric algorithm based on imaginary numbers. ;Adrien Douady;-;-;Geometry | Imaginary Numbers;Yes;10–13;https://www.ted.com/talks/benoit_mandelbrot_fractals_and_the_art_of_roughness?language=en
Master Everyday Math - Essential Calculations for Adults: A Guide to Sharpening Problem-Solving Skills, Managing Time and Money Like a Pro, and Maximizing Productivity;2023;Book;Self-help book about using mathematics to aid everyday life;Albert Rutherford;A.R.B. Publications;English;Problem solving;;;
Masyu;n.d.;Puzzle;Puzzle game. Draw a line that passes through white and black points under given conditions. ;-;Nikoli Inc. ;Japanese;Logic;Little;All;https://www.puzzle-masyu.com/
Matematica e cultura;2000–2011;Conference;Conference exploring the intersection between mathematics and aesthetics;Michele Emmer (ed.);University of Rome;Italian;Art;;Professional mathematicians;https://link.springer.com/series/7316
Matematikk med din glede;2008;Book;"Hvorfor har så mange av oss et negativt forhold til matematikk, og kanskje spesielt til matematikken slik vi møter den i skolen?
Matematikk med din glede er en litt annerledes bok om matematikk. Intensjonen er å inspirere og gjenskape matematikkglede i en tid der matematikken, særlig som fag i skolen, får mye negativ fokus.
Denne boka ser matematikken fra en rekke forskjellige perspektiver og alminneliggjør eller avvæpner den. Bidragsyterne i boka har vidt forskjellige bakgrunner fra en astrofysiker , en filosof og en bedriftsøkonom til en statistiker, en rektor og en forsker i gresk og latin (for å nevne noen).";"	
Sissel Redse Jørgensen | Eirik Newth";Gyldendal akademisk;Norwegian;Misc.;Yes;All;https://deichman.no/utgivelse/pf27db98da6f010f460fed0f5293ca9ce
